event_id,host_id,timestamp,src_ip,dst_ip,dst_port,protocol,bytes_out,bytes_in,inter_event_seconds,proc_name,user,country_code,signed_binary,label
EVT-373857567,HOST-116,2025-02-02 19:44:31,192.168.59.229,30.22.199.92,53,dns,7883,3178,60.970369815914694,rundll32.exe,user032,JP,0,1
EVT-380924157,HOST-028,2025-02-06 06:39:00,10.184.88.189,214.88.35.75,80,tcp,4905,33319,364.78358373806975,spotify.exe,user179,FR,1,0
EVT-674957844,HOST-055,2025-02-07 19:08:52,192.168.220.53,122.183.77.3,443,https,6785,3914,85.43531015629144,excel.exe,user121,JP,0,1
EVT-910824095,HOST-107,2025-02-01 12:51:28,10.182.26.253,221.107.37.31,443,https,2694,3732,76.60673958165032,powershell.exe,user063,DE,0,1
EVT-959358092,HOST-008,2025-02-01 12:44:21,10.144.27.253,99.43.113.49,443,https,3379,824,78.29557264926873,mshta.exe,user195,NG,0,1
EVT-528146247,HOST-137,2025-02-02 20:23:15,192.168.77.11,188.252.78.28,53,dns,5949,2304,38.21019099571771,spotify.exe,user098,VN,0,1
EVT-725490344,HOST-026,2025-02-01 19:40:13,192.168.154.7,81.50.209.242,53,dns,12643,34507,,regsvr32.exe,user085,US,0,0
EVT-687602576,HOST-119,2025-02-01 01:30:53,192.168.206.63,105.21.196.3,8080,tcp,44867,29814,1521.2829543869625,teams.exe,user005,NL,1,0
EVT-834271458,HOST-093,2025-02-07 20:23:58,10.179.144.202,84.97.226.99,443,https,17509,21451,815.5539629617384,excel.exe,svc_antivirus,NL,1,0
EVT-764511560,HOST-128,2025-02-05 01:51:04,10.77.126.152,127.28.105.249,15885,udp,6457,2212,64.82538275962511,onedrive.exe,user172,US,0,1
EVT-126766892,HOST-117,2025-02-06 10:31:05,10.98.222.131,58.151.135.30,443,https,3452,47445,2041.8635423384371,slack.exe,user036,GB,1,0
EVT-830823589,HOST-078,2025-02-04 23:06:41,192.168.43.106,118.111.220.167,13460,udp,2951,1043,49.25083994452931,mshta.exe,user193,CN,0,1
EVT-428256874,HOST-114,2025-02-06 05:23:32,10.93.230.122,189.237.182.64,8080,tcp,4475,1063,44.40233315208345,meterpreter.exe,user162,UA,0,1
EVT-697479423,HOST-052,2025-02-05 19:16:31,192.168.80.162,44.43.242.82,443,https,846,1178,,rundll32.exe,user086,IR,0,1
EVT-650553168,HOST-088,2025-02-02 02:54:53,10.57.70.17,179.68.251.113,23397,udp,9784,12312,947.8498633474555,onedrive.exe,user189,US,0,0
EVT-116789099,HOST-138,2025-02-02 01:16:16,10.250.244.149,192.175.19.148,993,udp,9871,9802,576.967829954984,mshta.exe,user114,CA,1,0
EVT-825376108,HOST-013,2025-02-04 10:08:30,10.71.165.57,18.178.60.194,8080,tcp,36778,14283,210.26658507515285,onedrive.exe,user140,US,1,0
EVT-802970643,HOST-054,2025-02-03 14:20:05,10.46.110.201,154.92.181.158,443,https,23748,9492,31.41890147378481,excel.exe,user038,FR,1,0
EVT-566423800,HOST-003,2025-02-06 21:14:53,192.168.84.50,114.235.25.6,8080,tcp,3335,1939,59.90195957982453,sliver-client.exe,user023,CN,0,1
EVT-844076169,HOST-081,2025-02-03 03:26:29,10.81.113.19,146.216.21.47,443,https,28858,30867,821.7313221382825,excel.exe,user108,US,1,0
EVT-989409741,HOST-118,2025-02-04 16:52:20,192.168.202.111,73.156.35.160,80,tcp,26930,43699,174.59982620338914,onedrive.exe,user067,IN,1,0
EVT-228353289,HOST-006,2025-02-02 08:23:04,10.185.39.112,57.191.18.74,53,dns,4223,1813,65.92361295398584,spotify.exe,user200,FR,0,1
